x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82635,43133.24936,0.0,0.0,0.0,-0.864177505,0.503187083,1.5
89668.2389,43130.45242,0.0,0.0,0.0,-0.856705235,0.515806301,1.5
89666.87823,43127.88226,0.0,0.0,0.0,-0.876085635,0.482155534,1.5
89665.44196,43125.61448,0.0,0.0,0.0,-0.868327421,0.495991421,1.5
89663.70332,43122.66635,0.0,0.0,0.0,-0.965770751,0.259397103,1.5
89660.83079,43121.00331,0.0,0.0,0.0,-0.958760558,0.284215045,1.5
89657.80708,43119.0379,0.0,0.0,0.0,-0.970512214,0.241051948,1.5
89653.95184,43116.99689,0.0,0.0,0.0,0.995387706,0.095933908,1.5
89650.61528,43117.64606,0.0,0.0,0.0,0.986879681,0.161457413,2.0
89636.91054,43125.80812,0.0,0.0,0.0,0.881897373,0.471430937,8.333333333
89649.36939454546,43118.38806545454,0.0,0.0,0.0,0.9773358348181819,0.18963682427272727,2.575757575727273
89648.1235090909,43119.130070909094,0.0,0.0,0.0,0.9677919886363636,0.21781623554545454,3.1515151514545456
89646.87762363636,43119.87207636364,0.0,0.0,0.0,0.9582481424545455,0.2459956468181818,3.727272727181818
89645.63173818182,43120.61408181818,0.0,0.0,0.0,0.9487042962727273,0.2741750580909091,4.303030302909091
89644.38585272727,43121.356087272725,0.0,0.0,0.0,0.9391604500909091,0.30235446936363636,4.878787878636364
89643.13996727273,43122.098092727276,0.0,0.0,0.0,0.929616603909091,0.33053388063636363,5.454545454363636
89641.89408181817,43122.84009818182,0.0,0.0,0.0,0.9200727577272727,0.3587132919090909,6.030303030090909
89640.64819636363,43123.58210363636,0.0,0.0,0.0,0.9105289115454546,0.3868927031818182,6.6060606058181826
89639.40231090909,43124.32410909091,0.0,0.0,0.0,0.9009850653636364,0.41507211445454545,7.181818181545455
89638.15642545454,43125.06611454546,0.0,0.0,0.0,0.8914412191818182,0.4432515257272727,7.757575757272727
89632.39122,43131.98862,0.0,0.0,0.0,0.879083162,0.476668433,8.333333333
89630.24677,43135.28263,0.0,0.0,0.0,0.879092638,0.476650956,8.333333333
89628.10194,43138.57641,0.0,0.0,0.0,0.87911793,0.476604305,8.333333333
89625.95638,43141.86971,0.0,0.0,0.0,0.87914643,0.476551732,8.333333333
89623.81026,43145.16265,0.0,0.0,0.0,0.879177808,0.476493841,8.333333333
89621.66536,43148.45638,0.0,0.0,0.0,0.879203758,0.47644596,8.333333333
89619.52851,43151.75532,0.0,0.0,0.0,0.879208722,0.476436798,8.333333333
89617.41539,43155.06948,0.0,0.0,0.0,0.87912953,0.476582842,8.333333333
89615.39065,43158.43292,0.0,0.0,0.0,0.878914596,0.476979175,8.333333333
89614.56227,43160.96773,0.0,0.0,0.0,0.878371071,0.477977438,8.333333333
89614.41844,43162.64251,0.0,0.0,0.0,0.877503879,0.479569519,8.333333333
89614.86055,43163.13879,0.0,0.0,0.0,0.875517936,0.48318117,8.333333333
89615.30266,43163.63506,0.0,0.0,0.0,0.872581134,0.488468745,8.333333333
89615.74477,43164.13134,0.0,0.0,0.0,0.853836592,0.519033292,8.333333333
89616.18688,43164.62761,0.0,0.0,0.0,0.706986595,0.687416362,8.333333333
89616.69501,43164.95223,0.0,0.0,0.0,0.4327831,0.8946109,8.333333333
89617.34802,43164.9001,0.0,0.0,0.0,0.115419172,0.969215466,8.333333333
89618.00104,43164.84798,0.0,0.0,0.0,-0.166631726,0.971366327,8.333333333
89618.65405,43164.79586,0.0,0.0,0.0,-0.387490134,0.921766257,8.333333333
89619.30707,43164.74373,0.0,0.0,0.0,-0.426370233,0.904478847,8.333333333
89619.91302,43164.57803,0.0,0.0,0.0,-0.445702415,0.895175054,8.333333333
89620.39016,43164.10149,0.0,0.0,0.0,-0.449454534,0.893303036,8.333333333
89620.8673,43163.62494,0.0,0.0,0.0,-0.450029841,0.893013505,8.333333333
89621.5087,43162.94287,0.0,0.0,0.0,-0.450129199,0.892963439,8.333333333
89623.43624,43160.55852,0.0,0.0,0.0,-0.450085999,0.892985214,8.333333333
89625.7866,43157.40818,0.0,0.0,0.0,-0.450022023,0.893017456,8.333333333
